N,P,K,temperature,humidity,ph,rainfall,label
98.0,40.0,37.0,23.22281906,59.31511313,6.277126912,108.6591857,wheat
93.0,60.0,36.0,22.72115394,59.08183914,6.777815868,96.15004854,wheat
95.0,53.0,37.0,29.1445857,52.03325153,6.636011826,83.12920841,wheat
62.0,60.0,36.0,22.45072926,59.95707274,6.621852926,102.5746649,wheat
79.0,35.0,38.0,33.86234244,51.18584832,6.534570427,100.9176088,wheat
72.0,35.0,41.0,26.64588548,57.80160525,6.86457445,101.2399862,wheat
63.0,52.0,44.0,29.36844736,54.46588987,6.661889181,146.9927661,wheat
84.0,38.0,38.0,32.88585306,53.10941724,6.403792662,82.66761245,wheat
86.0,42.0,43.0,26.16451456,58.42549605,6.478950147,114.523192,wheat
81.0,58.0,42.0,32.7874383,52.10621259,6.46287051,137.3148173,wheat
99.0,44.0,41.0,30.85433994,54.23237016,6.325581948,158.335716,wheat
70.0,36.0,45.0,32.81296537,59.77332042,6.36961687,135.892958,wheat
81.0,37.0,44.0,21.63742097,52.15672023,6.904246873,127.94704,wheat
98.0,55.0,39.0,21.56081364,58.24317828,6.641266386,120.3062225,wheat
62.0,40.0,44.0,24.91898014,56.57494308,6.577047814,157.6254107,wheat
61.0,47.0,37.0,23.3675234,51.44040522,6.290553118,119.4179161,wheat
90.0,35.0,38.0,32.61168513,53.43450388,6.432582812,129.0833029,wheat
95.0,57.0,36.0,32.98761855,56.91380716,6.720389552,157.8209829,wheat
70.0,42.0,35.0,21.1671627,50.76765874,6.917991832,84.09900369,wheat
65.0,60.0,36.0,32.29245075,57.77217857,6.176585923,107.7013803,wheat
70.0,35.0,36.0,31.85745209,58.78096546,6.767201101,139.4082228,wheat
72.0,51.0,36.0,20.46228174,52.60336141,6.358830803,88.64082953,wheat
77.0,55.0,37.0,30.20210041,50.1380326,6.408720502,159.637369,wheat
90.0,47.0,37.0,32.83804521,57.00195681,6.054040722,138.8577307,wheat
84.0,36.0,42.0,28.64841334,56.59916797,6.53954388,136.3002864,wheat
96.0,50.0,42.0,33.20749638,52.51777152,6.54841022,158.9074287,wheat
82.0,60.0,37.0,30.8789865,58.21944052,6.546858671,104.7971044,wheat
92.0,42.0,43.0,23.26796952,55.62757951,6.230511475,144.790146,wheat
66.0,44.0,41.0,26.92593036,54.04316819,6.593136467,102.9943581,wheat
79.0,51.0,41.0,33.95209584,59.4699163,6.640428943,133.3803746,wheat
87.0,57.0,43.0,20.09136946,53.97223311,6.207077353,125.2942205,wheat
67.0,50.0,41.0,26.08577313,56.06768745,6.00834863,152.0998446,wheat
73.0,35.0,43.0,22.09104373,56.25209511,6.875602788,84.30277408,wheat
90.0,46.0,41.0,33.95105177,54.15593399,6.377430001,159.7094503,wheat
79.0,41.0,40.0,28.53146346,51.51158498,6.86342785,79.13672088,wheat
89.0,43.0,44.0,28.00510977,55.17019342,6.830847712,115.4433552,wheat
92.0,56.0,42.0,27.04402781,59.13144774,6.253928101,144.133609,wheat
91.0,38.0,40.0,33.13479807,50.01891663,6.689747085,102.0858776,wheat
84.0,54.0,45.0,31.61960395,51.08614902,6.583213487,135.2358305,wheat
63.0,59.0,40.0,27.50568957,54.01820397,6.161839979,114.8541306,wheat
87.0,52.0,38.0,24.33278733,56.12417545,6.103348652,109.1351681,wheat
88.0,47.0,36.0,28.72164631,59.37579557,6.743792045,121.4840528,wheat
88.0,59.0,42.0,25.28101255,51.19969856,6.291139182,96.52795631,wheat
90.0,40.0,42.0,30.83055881,56.65623952,6.477394823,153.4808896,wheat
79.0,44.0,44.0,24.78475421,54.86675337,6.324058546,161.7501599,wheat
91.0,48.0,38.0,21.2500493,50.54668411,6.395707486,76.73202842,wheat
92.0,39.0,37.0,22.71147615,51.51443588,6.187386059,82.51483333,wheat
82.0,54.0,40.0,28.98830116,57.96458855,6.598386095,154.1027485,wheat
69.0,35.0,40.0,26.66935651,54.10971217,6.094391879,77.69415355,wheat
62.0,57.0,41.0,26.44910438,51.15043087,6.364014181,85.87718731,wheat
65.0,48.0,35.0,25.15272442,51.54767082,6.092065594,100.0629969,wheat
86.0,47.0,43.0,22.15367553,58.34318338,6.624886074,105.7586828,wheat
93.0,48.0,36.0,22.16269576,58.90741579,6.540173202,103.4171832,wheat
98.0,49.0,36.0,25.99183159,52.61899038,6.60246342,124.9172678,wheat
78.0,39.0,37.0,27.65509604,53.92601391,6.276107098,85.77839497,wheat
96.0,42.0,45.0,28.59943017,57.85268636,6.159415985,146.3208345,wheat
66.0,55.0,35.0,21.80851548,50.5096322,6.506951286,138.213473,wheat
90.0,46.0,45.0,24.586226,50.25912969,6.507618946,98.73003058,wheat
100.0,44.0,41.0,28.75736442,58.85227538,6.226465334,116.1287685,wheat
98.0,37.0,35.0,25.53649642,53.97363189,6.178633084,89.72013147,wheat
95.0,60.0,37.0,28.86914133,50.50983056,6.457965853,89.11392893,wheat
72.0,56.0,35.0,23.20653917,57.75517139,6.326077291,135.6644149,wheat
88.0,49.0,41.0,30.03447137,57.16714071,6.66999862,128.2064115,wheat
71.0,43.0,37.0,22.69094467,53.86422324,6.213296759,140.4013334,wheat
73.0,54.0,41.0,21.8236595,59.64581441,6.849236311,139.1544624,wheat
90.0,53.0,35.0,21.73121202,55.21660738,6.321308622,123.9601092,wheat
63.0,49.0,44.0,31.76167796,57.72743864,6.198411713,82.10434989,wheat
90.0,42.0,44.0,31.32720734,54.17967763,6.621678462,144.8018325,wheat
62.0,45.0,37.0,32.25321056,53.68391381,6.804891621,106.0760607,wheat
66.0,55.0,35.0,20.40661421,55.50882624,6.476640786,100.659201,wheat
93.0,43.0,36.0,28.9138963,54.10859843,6.289688565,153.1256813,wheat
95.0,57.0,39.0,21.3272581,50.74277753,6.032033678,86.54737814,wheat
62.0,47.0,39.0,23.41584543,59.98962806,6.211739299,131.959498,wheat
89.0,50.0,44.0,33.8708865,56.78024695,6.756850847,91.72867099,wheat
98.0,60.0,41.0,23.92271434,52.27758641,6.755050225,137.3473567,wheat
94.0,59.0,40.0,23.57774533,55.62655185,6.563359708,141.3680666,wheat
65.0,43.0,39.0,23.9388272,54.87291737,6.901182568,146.6616428,wheat
75.0,42.0,36.0,22.71215545,54.72066163,6.002569182,94.83486133,wheat
71.0,40.0,43.0,27.62626513,52.23017432,6.422694318,100.3168624,wheat
86.0,36.0,36.0,30.88267511,52.69713089,6.97323945,162.9129631,wheat
80.0,53.0,38.0,21.61239794,57.22063124,6.477667597,141.8402571,wheat
76.0,60.0,45.0,33.70567542,56.05223695,6.626533863,118.5550251,wheat
86.0,42.0,38.0,29.89576763,58.17888122,6.949032941,159.9218668,wheat
71.0,58.0,35.0,28.39103747,56.64521207,6.268937169,138.0059458,wheat
91.0,44.0,43.0,28.69331555,59.97943297,6.976582042,97.92564513,wheat
78.0,49.0,37.0,24.26818049,52.09864128,6.3492459,95.83816153,wheat
69.0,38.0,35.0,25.41082075,57.40584681,6.535456802,92.06522861,wheat
83.0,45.0,37.0,29.83448534,52.92281,6.193914417,79.23405577,wheat
77.0,58.0,36.0,21.43816465,58.82464004,6.410775773,128.8619472,wheat
97.0,46.0,42.0,30.34034318,51.68419575,6.841239388,90.20001424,wheat
64.0,40.0,38.0,22.40555923,57.23637673,6.68765778,162.8889752,wheat
84.0,47.0,43.0,22.66469526,51.51783824,6.298165084,145.3105423,wheat
78.0,59.0,36.0,27.74080015,56.38574223,6.02697455,111.3764672,wheat
78.0,39.0,41.0,30.85454844,57.48603099,6.932325656,86.40096727,wheat
61.0,60.0,43.0,27.94020348,58.04350805,6.761467373,103.0601137,wheat
87.0,50.0,39.0,25.58747374,53.56736054,6.506045777,156.9663176,wheat
89.0,45.0,37.0,21.96790926,55.48066752,6.109296604,103.8796274,wheat
63.0,35.0,41.0,28.13171727,51.23308614,6.332155515,140.9134931,wheat
65.0,59.0,40.0,32.83179905,57.8682587,6.901257558,128.889532,wheat
8.0,49.0,19.0,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
11.0,39.0,22.0,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
35.0,47.0,21.0,27.01470397,84.34262707,6.635968698,55.296354,mungbean
24.0,42.0,18.0,28.17432665,81.04554836,6.828187499,36.35720652,mungbean
36.0,53.0,18.0,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
23.0,39.0,24.0,29.89232778,89.71503316,7.165121109,42.99498978,mungbean
38.0,42.0,15.0,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
17.0,54.0,24.0,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
0.0,36.0,21.0,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
12.0,49.0,18.0,28.14448546,82.1193047,7.064782138,46.75690086,mungbean
39.0,53.0,17.0,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
36.0,49.0,18.0,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
23.0,56.0,25.0,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
38.0,56.0,21.0,29.008124,84.96089355,6.664187809,45.91011391,mungbean
0.0,59.0,20.0,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
17.0,47.0,17.0,29.78416743,85.16906976,6.79385576,40.77872823,mungbean
35.0,45.0,18.0,27.8640132,80.4513142,6.852884643,42.83053902,mungbean
38.0,54.0,25.0,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
37.0,43.0,17.0,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
28.0,59.0,21.0,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
13.0,59.0,20.0,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
7.0,39.0,22.0,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
40.0,58.0,24.0,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
33.0,58.0,19.0,27.23924995,86.404241,6.713410626,37.31236904,mungbean
39.0,54.0,19.0,28.95172351,81.67085323,6.510840928,56.51103293,mungbean
31.0,35.0,18.0,28.18837136,82.60629652,6.287380117,37.01110438,mungbean
19.0,37.0,23.0,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
8.0,39.0,23.0,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
39.0,41.0,24.0,28.6899851,87.50436797,6.769415888,44.56598352,mungbean
10.0,47.0,25.0,27.8262623,88.73100226,6.320768488,56.68833819,mungbean
3.0,51.0,17.0,28.70562673,81.59200689,6.705008504,59.87065439,mungbean
35.0,35.0,15.0,28.6362812,84.61431076,6.790736339,48.48319335,mungbean
39.0,50.0,21.0,28.28511547,88.4393979,7.130278657,48.56690235,mungbean
17.0,38.0,17.0,27.60887393,86.13316408,7.012740397,43.80041104,mungbean
9.0,51.0,24.0,28.60901145,86.99495766,7.155685016,36.94616965,mungbean
28.0,45.0,16.0,29.24598976,84.80084105,6.991242362,53.43228915,mungbean
9.0,47.0,20.0,28.62911222,89.1148059,6.218923893,50.49913241,mungbean
13.0,60.0,18.0,29.57329479,88.07505524,7.199495368,45.04467075,mungbean
40.0,38.0,25.0,27.82684262,87.16679147,6.389882166,58.37249772,mungbean
24.0,37.0,24.0,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
14.0,52.0,25.0,27.33684386,88.50229102,7.033012777,51.09802625,mungbean
25.0,42.0,23.0,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
18.0,49.0,25.0,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
28.0,48.0,21.0,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
36.0,41.0,23.0,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
1.0,48.0,16.0,28.07219563,82.9116472,6.478557136,49.61865305,mungbean
28.0,40.0,23.0,27.84026517,89.99615558,7.063022095,52.84626009,mungbean
21.0,53.0,25.0,27.10818093,87.4512669,6.981758362,55.03723979,mungbean
38.0,58.0,17.0,27.68515114,81.94268594,6.227134139,54.62243308,mungbean
26.0,57.0,19.0,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
12.0,51.0,19.0,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
28.0,51.0,21.0,27.65280218,89.80650642,6.459252023,56.52558045,mungbean
13.0,50.0,21.0,27.31372793,85.44815232,6.568795404,53.15223123,mungbean
19.0,60.0,15.0,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
0.0,60.0,20.0,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
3.0,50.0,25.0,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
17.0,43.0,16.0,27.53632932,89.92908171,6.619891498,45.48591922,mungbean
1.0,60.0,19.0,29.66461594,84.28187572,6.377568542,56.09542002,mungbean
38.0,52.0,18.0,29.9145443,85.85384444,6.415459592,41.39081525,mungbean
19.0,57.0,19.0,28.36363858,87.59810657,6.320662012,57.99524359,mungbean
12.0,46.0,17.0,29.46416042,87.60890009,6.978400282,43.15411472,mungbean
1.0,46.0,16.0,29.73013036,82.89166381,6.442335593,50.91511275,mungbean
15.0,57.0,15.0,27.46852989,87.17649,7.184398832,43.78420984,mungbean
35.0,54.0,21.0,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
10.0,41.0,19.0,29.12939524,88.48312598,7.085982325,36.45012824,mungbean
0.0,52.0,19.0,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
29.0,45.0,19.0,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
20.0,36.0,18.0,28.14720892,83.8001509,6.647965508,37.44800463,mungbean
2.0,59.0,23.0,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
0.0,58.0,16.0,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
12.0,50.0,24.0,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
37.0,57.0,19.0,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
34.0,54.0,21.0,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
25.0,42.0,21.0,27.96235681,83.97586797,6.581351374,48.9366954,mungbean
22.0,43.0,21.0,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
7.0,46.0,17.0,28.36291385,88.00989267,6.487124217,43.05130077,mungbean
13.0,58.0,20.0,27.62749466,86.49366929,6.605733068,39.26137642,mungbean
8.0,45.0,20.0,28.66086349,86.12194568,6.860602782,50.01534317,mungbean
4.0,51.0,17.0,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
25.0,50.0,25.0,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
12.0,53.0,25.0,28.02952623,84.8845732,6.556372966,36.12042927,mungbean
22.0,41.0,21.0,28.08657178,80.35005927,6.760694228,38.14476781,mungbean
6.0,46.0,25.0,29.16174608,80.28038146,6.715276663,40.16545979,mungbean
34.0,54.0,18.0,29.8596912,80.03499648,6.666380512,50.66487502,mungbean
6.0,57.0,20.0,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
10.0,38.0,21.0,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
31.0,46.0,18.0,27.93034941,85.42058715,7.011030515,43.25095608,mungbean
23.0,37.0,16.0,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
5.0,44.0,19.0,28.9973145,83.78911515,6.821747052,59.84499208,mungbean
3.0,53.0,19.0,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
19.0,58.0,15.0,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
24.0,56.0,19.0,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
7.0,40.0,15.0,28.56149805,83.63802195,6.689825155,41.013132,mungbean
12.0,37.0,15.0,28.43683487,87.91332682,6.583381939,43.12063289,mungbean
36.0,56.0,21.0,28.79728147,80.45744422,6.725551062,44.30070517,mungbean
16.0,38.0,23.0,28.7275267,89.12760359,7.069747814,58.52974279,mungbean
32.0,47.0,23.0,27.95639663,83.52706038,6.921993878,43.25726752,mungbean
28.0,45.0,15.0,28.17458662,83.69659318,6.770955317,37.2464655,mungbean
32.0,60.0,15.0,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
1.0,36.0,16.0,28.438097,83.48991368,6.267684328,52.55469976,mungbean
189.0,75.0,199.0,28.97274022,60.50275586,4.800908436,186.5498269,tea
205.0,67.0,199.0,21.61299778,56.89640445,4.919827153,201.1799222,tea
203.0,63.0,193.0,26.71554771,56.28765802,4.993036384,151.3875598,tea
182.0,80.0,200.0,27.36559349,62.74215557,4.606762414,192.9191932,tea
193.0,72.0,199.0,21.00527346,60.77131372,4.772296297,230.6059422,tea
189.0,56.0,198.0,28.87307446,58.33021692,4.519362251,239.3774182,tea
210.0,56.0,190.0,25.25360803,62.32168144,4.937445982,238.5986386,tea
213.0,64.0,200.0,23.29235578,56.92431128,4.619441417,229.8478065,tea
184.0,78.0,200.0,27.16935877,61.43782383,4.586794581,168.5259941,tea
182.0,69.0,190.0,22.06389813,64.90015786,4.587211525,155.4178681,tea
199.0,58.0,192.0,27.64363393,61.78526032,4.789560952,211.4984132,tea
190.0,64.0,199.0,21.77257982,57.36551598,4.852144255,164.8080603,tea
197.0,72.0,200.0,21.14788645,60.59493367,4.538276284,242.7375694,tea
182.0,58.0,192.0,23.42065805,62.80335017,4.52906137,207.9346869,tea
211.0,79.0,198.0,23.49211409,55.50981676,4.571921666,248.0127192,tea
195.0,60.0,193.0,21.9348235,63.90516342,4.832617563,249.4180906,tea
197.0,58.0,198.0,24.0028517,64.15172749,4.585519314,205.6436271,tea
186.0,77.0,192.0,23.03270612,58.77109509,4.688463852,243.5264931,tea
183.0,68.0,191.0,23.34008469,62.36487289,4.640843481,190.8030418,tea
188.0,63.0,190.0,25.69642083,64.47737389,4.804786385,248.6454371,tea
214.0,55.0,190.0,22.50457269,61.89100336,4.903372634,245.8787983,tea
211.0,80.0,200.0,26.14390845,63.48370129,4.559542615,165.9686138,tea
202.0,69.0,199.0,25.80495055,55.00985779,4.789734437,220.2481622,tea
188.0,58.0,192.0,26.66413203,61.00949554,4.524595296,195.2644515,tea
188.0,74.0,194.0,26.1454261,63.23452521,4.669570248,235.3354816,tea
187.0,62.0,195.0,24.16451828,56.79991063,4.921436311,235.9374819,tea
210.0,64.0,197.0,21.65594823,61.76715279,4.655763696,241.5411477,tea
206.0,55.0,195.0,22.35753322,56.8091977,4.735721002,151.5420229,tea
198.0,60.0,190.0,21.96202221,62.1370184,4.859898552,247.9849425,tea
200.0,66.0,195.0,21.10407321,57.50157537,4.971982923,243.6025436,tea
207.0,63.0,190.0,27.44758956,63.69135557,4.658126343,218.3234174,tea
211.0,79.0,198.0,21.68623299,55.48736922,4.5025967,156.5019951,tea
208.0,70.0,194.0,23.37388862,56.70918388,4.97103203,210.8450939,tea
186.0,80.0,190.0,21.97467801,55.14035851,4.636239117,155.5288113,tea
186.0,61.0,197.0,22.96228267,56.04805635,4.918981763,156.1374967,tea
186.0,71.0,200.0,23.26790447,59.02050697,4.510646819,187.2409307,tea
209.0,65.0,190.0,22.24106122,62.85507946,4.553135524,244.6364888,tea
175.0,63.0,193.0,22.63639552,58.32292132,4.512978813,209.8447099,tea
195.0,74.0,199.0,22.43163359,60.43807179,4.588707438,193.10972,tea
201.0,59.0,195.0,25.08481552,64.29997775,4.710750607,173.9597671,tea
187.0,56.0,196.0,26.28259087,58.03195649,4.728712582,183.5504823,tea
188.0,64.0,200.0,22.11748525,64.12712782,4.842597238,177.6582205,tea
177.0,66.0,193.0,24.57238439,56.50279108,4.697892434,239.435644,tea
212.0,76.0,198.0,25.08757528,60.95161755,4.922258647,168.8599817,tea
202.0,79.0,193.0,21.72328562,61.19266527,4.848392144,164.9584071,tea
189.0,72.0,198.0,23.34518123,55.7987668,4.84523927,207.0690528,tea
205.0,79.0,195.0,25.7651492,55.18131159,4.562853017,181.3792303,tea
188.0,62.0,196.0,27.57410935,59.30493164,4.888876453,229.527211,tea
185.0,63.0,199.0,26.74935754,57.82609505,4.604537632,186.2506936,tea
209.0,65.0,192.0,23.56110792,58.64932753,4.621923702,213.4530574,tea
